Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Georgia,GEO,Natural capital per capita (constant 2018 US$),NW.NCA.PC,3951.144,3745.718,3898.936,3905.339
Georgia,GEO,"Natural capital per capita, agricultural land (constant 2018 US$)",NW.NCA.AGRI.PC,1806.081,1719.384,1713.452,1572.701
Georgia,GEO,"Natural capital per capita, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.PC,779.2207,725.3605,720.0395,590.2768
Georgia,GEO,"Natural capital per capita, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.PC,1026.86,994.024,993.4129,982.4239
Georgia,GEO,"Natural capital per capita, fisheries (constant 2018 US$)",NW.NCA.FISH.PC,18.05913,23.9149,73.52183,114.0472
Georgia,GEO,"Natural capital per capita, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.PC,1263.135,1324.86,1445.012,1559.615
Georgia,GEO,"Natural capital per capita, forests: timber (constant 2018 US$)",NW.NCA.FTIM.PC,75.06127,66.69243,74.59476,78.0606
Georgia,GEO,"Natural capital per capita, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.PC,120.7895,108.2823,113.6645,134.9742
Georgia,GEO,"Natural capital per capita, mangroves (constant 2018 US$)",NW.NCA.MANG.PC,0,0,0,0
Georgia,GEO,"Natural capital per capita, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.PC,482.2958,314.272,295.3624,286.7572
Georgia,GEO,"Natural capital per capita, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.PC,15.17698,11.64674,10.22928,9.104421
Georgia,GEO,"Natural capital per capita, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.PC,8.546244,9.937598,11.29322,12.86756
Georgia,GEO,"Natural capital per capita, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.PC,361.5063,205.9896,181.6979,151.783
Georgia,GEO,"Natural capital per capita, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.PC,97.06629,86.69799,92.14199,113.0022
Georgia,GEO,"Natural capital per capita, protected areas (constant 2018 US$)",NW.NCA.PRAR.PC,306.5123,296.5941,296.9934,294.1582
Georgia,GEO,"Natural capital per capita, renewable (constant 2018 US$)",NW.NCA.RNEW.PC,3468.848,3431.446,3603.574,3618.582
Georgia,GEO,"Natural capital, agricultural land (constant 2018 US$)",NW.NCA.AGRI.TO,6730000000,6.41E+09,6.39E+09,5.86E+09
Georgia,GEO,"Natural capital, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.TO,2900000000,2.70E+09,2.68E+09,2.20E+09
Georgia,GEO,"Natural capital, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.TO,3830000000,3.71E+09,3.70E+09,3.66E+09
Georgia,GEO,"Natural capital, fisheries (constant 2018 US$)",NW.NCA.FISH.TO,67275234,89142893,2.74E+08,4.25E+08
Georgia,GEO,"Natural capital, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.TO,4710000000,4.94E+09,5.39E+09,5.81E+09
Georgia,GEO,"Natural capital, forests: timber (constant 2018 US$)",NW.NCA.FTIM.TO,280000000,2.49E+08,2.78E+08,2.91E+08
Georgia,GEO,"Natural capital, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.TO,450000000,4.04E+08,4.24E+08,5.03E+08
Georgia,GEO,"Natural capital, mangroves (constant 2018 US$)",NW.NCA.MANG.TO,0,0,0,0
Georgia,GEO,"Natural capital, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.TO,1800000000,1.17E+09,1.10E+09,1.07E+09
Georgia,GEO,"Natural capital, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.TO,56538448,43413267,38134785,33928071
Georgia,GEO,"Natural capital, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.TO,31837118,37042447,42101187,47951590
